iter	RMSE
0	9035355.987
1	8137025.834
2	7336291.343
3	6606275.443
4	5948597.805
5	5389007.575
6	4970872.729
7	4539451.086
8	4166034.978
9	3836707.74
10	3606760.539
11	3416767.237
12	3240632.958
13	3090611.847
14	2922769.817
15	2802836.712
16	2683349.084
17	2542307.673
18	2456671.342
19	2401048.051
20	2327724.168
21	2256889.562
22	2220934.07
23	2167934.546
24	2116059.705
25	2071674.817
26	2038045.669
27	2003773.856
28	1974730.277
29	1956393.586
30	1933908.758
31	1910005.89
32	1894876.945
33	1892112.138
34	1851832.304
35	1818576.685
36	1774409.38
37	1746256.349
38	1721439.957
39	1698222.735
40	1680342.434
41	1661263.679
42	1644270.642
43	1628467.148
44	1618001.148
45	1599615.078
46	1579570.996
47	1573345.156
48	1547076.2
49	1532767.005
50	1522592.457
51	1508350.67
52	1500567.474
53	1497522.278
54	1481403.792
55	1467383.197
56	1461175.242
57	1457458.692
58	1451890.169
59	1444614.074
60	1432923.428
61	1429771.448
62	1422623.578
63	1401755.857
64	1399107.812
65	1368302.021
66	1363724.36
67	1347109.184
68	1342812.46
69	1333128.023
70	1327109.455
71	1325220.605
72	1322071.39
73	1307089.243
74	1289158.121
75	1288257.44
76	1287331.363
77	1274107.85
78	1262061.899
79	1256992.833
80	1243213.603
81	1240121.652
82	1238633.247
83	1225496.366
84	1223726.599
85	1209542.777
86	1203773.462
87	1192194.129
88	1182335.168
89	1166788.35
90	1161078.746
91	1156251.24
92	1155261.69
93	1153022.326
94	1151694.881
95	1145738.918
96	1139696.836
97	1130003.996
98	1123789.962
99	1122091.139
100	1114760.501
101	1109123.882
102	1099169.232
103	1091141.772
104	1087007.851
105	1084932.276
106	1075171.243
107	1064378.427
108	1055265.352
109	1048740.848
110	1043789.006
111	1036255.895
112	1029985.107
113	1025637.891
114	1020601.538
115	1015304.035
116	1010801.93
117	1006254.873
118	1002680.845
119	996162.7365
120	992701.9909
121	987698.1143
122	979094.6282
123	974652.6198
124	967386.736
125	961523.2545
126	955512.441
127	951549.6675
128	945876.3124
129	941302.1951
130	937710.2448
131	934747.1052
132	930082.0268
133	925755.3244
134	920207.4577
135	914067.9775
136	909881.2458
137	907835.3856
138	903236.9339
139	900944.5391
140	897350.157
141	895556.845
142	893124.5134
143	890266.6956
144	886308.2088
145	882720.4734
146	881088.9484
147	878407.7068
148	876388.0075
149	874002.8314
150	869456.8165
151	867275.454
152	861931.2177
153	861642.211
154	856477.6207
155	856164.5012
156	853950.2336
157	849918.3849
158	849734.9354
159	849354.9002
160	849155.5934
161	847816.9615
162	842299.2569
163	842118.215
164	838590.4477
165	836474.3669
166	834137.5259
167	831031.124
168	824979.4981
169	823809.4213
170	823371.6688
171	820471.6834
172	817506.7814
173	816014.6334
174	814986.1857
175	813132.9762
176	808190.6949
177	807508.7352
178	803354.9052
179	799237.028
180	795148.1519
181	792180.5267
182	789511.6949
183	787434.2565
184	787299.658
185	786826.0301
186	785183.1702
187	785083.9782
188	784065.5578
189	782654.2961
190	778704.8396
191	777492.9369
192	773528.8906
193	770644.0026
194	768517.2145
195	766900.7335
196	766431.0813
197	764724.8847
198	761051.1335
199	758564.4581
