iter	Passed	Remaining
0	60	12085
1	61	6117
2	62	4104
3	63	3093
4	63	2487
5	64	2090
6	65	1802
7	66	1585
8	66	1415
9	67	1280
10	68	1171
11	68	1079
12	69	1001
13	70	936
14	71	878
15	71	826
16	72	782
17	73	741
18	74	705
19	74	672
20	75	642
21	76	615
22	76	590
23	77	567
24	78	546
25	78	528
26	79	510
27	80	493
28	80	477
29	81	462
30	82	448
31	82	435
32	83	423
33	83	409
34	84	399
35	85	388
36	85	378
37	86	369
38	87	361
39	88	352
40	88	344
41	89	336
42	90	329
43	91	323
44	91	315
45	92	309
46	93	302
47	93	296
48	94	290
49	95	285
50	95	279
51	96	274
52	97	269
53	97	264
54	98	259
55	98	254
56	99	249
57	100	245
58	100	241
59	101	236
60	102	232
61	102	228
62	103	225
63	104	221
64	104	217
65	105	213
66	105	210
67	106	206
68	106	203
69	107	200
70	108	197
71	109	194
72	109	191
73	110	188
74	111	185
75	112	182
76	112	179
77	113	177
78	113	174
79	114	171
80	115	169
81	115	166
82	116	164
83	117	161
84	117	159
85	118	157
86	119	154
87	120	152
88	120	150
89	121	148
90	122	146
91	122	144
92	123	142
93	124	139
94	124	137
95	125	135
96	125	133
97	126	131
98	127	129
99	128	128
100	128	126
101	129	124
102	130	122
103	130	120
104	131	118
105	131	116
106	132	115
107	133	113
108	133	111
109	134	109
110	134	108
111	135	106
112	136	104
113	136	103
114	137	101
115	138	100
116	139	98
117	139	97
118	140	95
119	141	94
120	141	92
121	142	91
122	142	89
123	143	88
124	144	86
125	144	85
126	145	83
127	146	82
128	146	80
129	147	79
130	148	78
131	149	76
132	149	75
133	150	74
134	151	72
135	151	71
136	152	70
137	152	68
138	153	67
139	154	66
140	155	64
141	155	63
142	156	62
143	157	61
144	158	59
145	158	58
146	159	57
147	160	56
148	160	55
149	161	53
150	161	52
151	162	51
152	163	50
153	163	48
154	164	47
155	165	46
156	165	45
157	166	44
158	167	43
159	167	41
160	168	40
161	168	39
162	169	38
163	170	37
164	170	36
165	171	35
166	172	34
167	173	33
168	174	31
169	174	30
170	175	29
171	176	28
172	176	27
173	177	26
174	177	25
175	178	24
176	179	23
177	179	22
178	180	21
179	181	20
180	182	19
181	182	18
182	183	17
183	184	16
184	184	14
185	185	13
186	186	12
187	186	11
188	187	10
189	188	9
190	188	8
191	189	7
192	190	6
193	190	5
194	191	4
195	192	3
196	192	2
197	193	1
198	193	0
199	194	0
